"Index","Business Name","Email","Subject","Website","Has Website","Phone","Address","Category","Problem","Email Source","Confidence","Status"
"1","Siltināšana ar poliuretāna putām - Putupoliuretans.lv","siltinasana@line-x.lv","Jautājums par Siltināšana ar poliuretāna putām - Putupoliuretans.lv mājaslapu","http://putupoliuretans.lv/","Yes","+371 29 351 313","Čuibes iela 7, Latgales priekšpilsēta, Rīga, LV-1063, Latvija","Izolācijas darbi","mājaslapā nav norādīts pakalpojumu saraksts vai cenas - klienti nevar novērtēt piedāvājumu pirms zvanīšanas","scrape","40","ready_to_send"
"2","Betona grīdas LĪMENĪ","martins@limeni.lv","Jautājums par Betona grīdas LĪMENĪ mājaslapu","http://www.limeni.lv/","Yes","+371 29 484 898","Mazjumpravas iela 40, Latgales priekšpilsēta, Rīga, LV-1063, Latvija","Betonēšanas pakalpojumu sniedzējs","mājaslapā nav norādīts pakalpojumu saraksts vai cenas - klienti nevar novērtēt piedāvājumu pirms zvanīšanas","hunter","94","ready_to_send"
"3","AS Grīdas, SIA","gridas@gridas.lv","Jautājums par AS Grīdas, SIA mājaslapu","http://www.asgridas.lv/","Yes","+371 28 624 972","Čiekurkalna 1. līnija 28, Vidzemes priekšpilsēta, Rīga, LV-1026, Latvija","Grīdas segumu tirdzniecība","mājaslapas dizains izskatās novecojis - potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","manual","60","ready_to_send"
"4","Autoserviss Auto centrs Rencēnu","info@rencenuserviss.lv","Jautājums par Autoserviss Auto centrs Rencēnu mājaslapu","https://www.rencenuserviss.lv/","Yes","+371 25 558 884","Meirānu iela 6, Latgales priekšpilsēta, Rīga, LV-1073, Latvija","Automašīnu remonts un apkope","mājaslapā nav redzams pakalpojumu saraksts vai cenas - klienti nevar novērtēt piedāvājumu pirms zvanīšanas.","hunter","83","ready_to_send"
"5","RemLAT, jumta remonts","remlat@inbox.lv","Jautājums par RemLAT, jumta remonts tiešsaistes klātbūtni","https://infolapa.zl.lv/remlat-ltd-sia","Yes","+371 22 321 707","Krasta iela 86, Latgales priekšpilsēta, Rīga, LV-1019, Latvija","Jumta darbi","uzņēmumam nav savas profesionālas mājaslapas vizītkartes, un potenciālie klienti Jūs atrod tikai caur uzziņu katalogiem, kur blakus ir arī konkurenti.","scrape","40","ready_to_send"
"6","Salons ""Necesse""","studija@necesse.lv","Jautājums par Salons ""Necesse"" mājaslapu","http://www.necesse.lv/","Yes","+371 25 748 510","Raiņa bulvāris 2, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis un neuzticams - potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu.","hunter","81","ready_to_send"
"7","GRIEZE","grieze@grieze.lv","Jautājums par GRIEZE mājaslapu","https://www.grieze.lv/","Yes","+371 20 015 220","Dzirnavu iela 91-2.korpuss, Centra rajons, Rīga, LV-1010, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis - potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","78","ready_to_send"
"8","Catrin' beauty studio","info@catrinsalons.lv","Jautājums par Catrin' beauty studio mājaslapu","http://www.catrinsalons.lv/","Yes","+371 26 351 296","Lāčplēša iela 22, Centra rajons, Rīga, LV-1010, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis - potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","manual","85","ready_to_send"
"9","Beauty salon Skaistuma Industrija S9 / Health and beauty / Skaistumkopšanas pakalpojumi","info@s9.lv","Jautājums par Beauty salon Skaistuma Industrija S9 mājaslapu","http://s9.lv/","Yes","+371 67 282 400","Dzirnavu iela 92-2, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis - potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","77","ready_to_send"
"10","Skaistumkopšanas salons BBbinnija","bbbinnija@bbbinnija.lv","Jautājums par Skaistumkopšanas salons BBbinnija mājaslapu","http://www.bbbinnija.lv/","Yes","+371 67 331 727","Alberta iela 12, Centra rajons, Rīga, LV-1010, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis - potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","manual","74","ready_to_send"
