"Index","Business Name","Email","Subject","Website","Has Website","Phone","Address","Category","Problem","Email Source","Confidence","Status"
"1","Siltināšana ar poliuretāna putām - Putupoliuretans.lv","siltinasana@line-x.lv","Jautājums par Siltināšana ar poliuretāna putām - Putupoliuretans.lv mājaslapu","http://putupoliuretans.lv/","Yes","+371 29 351 313","Čuibes iela 7, Latgales priekšpilsēta, Rīga, LV-1063, Latvija","Izolācijas darbi","mājaslapā nav norādīts pakalpojumu saraksts vai cenas — klienti nevar novērtēt piedāvājumu pirms zvanīšanas","scrape","40","ready_to_send"
"2","Betona grīdas LĪMENĪ","martins@limeni.lv","Jautājums par Betona grīdas LĪMENĪ mājaslapu","http://www.limeni.lv/","Yes","+371 29 484 898","Mazjumpravas iela 40, Latgales priekšpilsēta, Rīga, LV-1063, Latvija","Betonēšanas pakalpojumu sniedzējs","mājaslapā nav norādīts pakalpojumu saraksts vai cenas — klienti nevar novērtēt piedāvājumu pirms zvanīšanas","hunter","94","ready_to_send"
"3","AS Grīdas, SIA","birojs@asgridas.lv","Jautājums par AS Grīdas, SIA mājaslapu","http://www.asgridas.lv/","Yes","+371 28 624 972","Čiekurkalna 1. līnija 28, Vidzemes priekšpilsēta, Rīga, LV-1026, Latvija","Grīdas segumu tirdzniecība","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","scrape","60","ready_to_send"
"4","Autoserviss Auto centrs Rencēnu","info@rencenuserviss.lv","Jautājums par Autoserviss Auto centrs Rencēnu mājaslapu","https://www.rencenuserviss.lv/","Yes","+371 25 558 884","Meirānu iela 6, Latgales priekšpilsēta, Rīga, LV-1073, Latvija","Automašīnu remonts un apkope","mājaslapā nav redzams pakalpojumu saraksts vai cenas — klienti nevar novērtēt piedāvājumu pirms zvanīšanas.","hunter","83","ready_to_send"
"5","RemLAT, jumta remonts","remlat@inbox.lv","Jautājums par RemLAT, jumta remonts mājaslapu","https://infolapa.zl.lv/remlat-ltd-sia","Yes","+371 22 321 707","Krasta iela 86, Latgales priekšpilsēta, Rīga, LV-1019, Latvija","Jumta darbi","mājaslapā nav norādīts pakalpojumu saraksts vai cenas — klienti nevar novērtēt piedāvājumu pirms zvanīšanas","scrape","40","ready_to_send"
"6","Ohhh_studio","ahsanshekh@instagram.com","Jautājums par Ohhh_studio mājaslapu","https://instagram.com/ohhh_studio","Yes","+371 27 114 205","Raņķa dambis 34, Zemgales priekšpilsēta, Rīga, LV-1048, Latvija","Manikīra un pedikīra salons","mājaslapā nav redzama tiešsaistes pieraksta sistēma — klienti, kas negrib zvanīt, vienkārši aiziet pie konkurentiem","hunter","94","ready_to_send"
"7","Celebrus Beauty","ahsanshekh@instagram.com","Jautājums par Celebrus Beauty mājaslapu","https://www.instagram.com/","Yes","+371 28 295 681","Merķeļa iela 21, Centra rajons, Rīga, LV-1050, Latvija","Manikīra un pedikīra salons","mājaslapas dizains izskatās novecojis un neuzticams — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu.","hunter","94","ready_to_send"
"8","ID RIGA","abs@dikidi.net","Jautājums par ID RIGA mājaslapu","https://dikidi.net/1922283","Yes","+371 22 334 758","Kalnciema Iela 9a, Zemgales priekšpilsēta, Rīga, LV-1048, Latvija","Manikīra un pedikīra salons","mājaslapā nav redzama tiešsaistes pieraksta sistēma — klienti, kas negrib zvanīt, vienkārši aiziet pie konkurentiem","hunter","96","ready_to_send"
"9","Ladda nails","ahsanshekh@instagram.com","Jautājums par Ladda nails mājaslapu","https://www.instagram.com/ladda_nails","Yes","+371 29 145 118","Kalnciema Iela 40, Zemgales priekšpilsēta, Rīga, LV-1046, Latvija","Manikīra un pedikīra salons","mājaslapas dizains izskatās novecojis un neuzticams — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu.","hunter","94","ready_to_send"
"10","Salons ""Necesse""","studija@necesse.lv","Jautājums par Salons ""Necesse"" mājaslapu","http://www.necesse.lv/","Yes","+371 25 748 510","Raiņa bulvāris 2, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis un neuzticams — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu.","hunter","81","ready_to_send"
